Ranking,University,City,State,Region,Founded,Students_count,Staff_count,Setting,Latitude,Longitude,Air_quality
1412,The University of Virginia's College at Wise,Wise ,Virginia,Southeast,1954,3999,199,Rural,36.977722,-82.58027,2
1413,The Chicago School of Professional Psychology,Los Angeles ,California,West,1979,3999,50,Urban,34.052238,-118.243344,3
1414,Reinhardt University,Waleska ,Georgia,Southeast,1883,1999,199,Rural,34.315483,-84.551125,2
1415,Mount Vernon Nazarene University,Mount Vernon ,Ohio,Midwest,1968,2999,99,Rural,40.393695,-82.486656,2
1416,Coker University,Hartsville ,South Carolina,Southeast,1908,1999,199,Rural,34.369846,-80.084526,2
1417,Corban University,Salem ,Oregon,West,1935,1999,199,Suburban,44.939016,-123.039307,1
1418,Thiel College,Greenville ,Pennsylvania,Northeast,1866,999,99,Suburban,41.406912,-80.383378,2
1419,MacMurray College,Jacksonville ,Illinois,Midwest,1846,999,99,Rural,39.737907,-90.238627,2
1420,East Georgia State College,Swainsboro ,Georgia,Southeast,1973,3999,199,Rural,32.596933,-82.333911,2
1421,Dominican College,Orangeburg ,New York,Northeast,1952,2999,299,Suburban,41.045962,-73.954884,2
1422,University of Saint Francis,Fort Wayne ,Indiana,Midwest,1890,2999,399,Urban,41.077474,-85.137495,2
1423,Columbia Basin College,Pasco ,Washington,West,1955,9999,199,Suburban,46.241552,-119.117372,1
1424,AdventHealth University,Orlando ,Florida,Southeast,1992,2999,199,Urban,28.538331,-81.378879,2
1425,Goodwin University,East Hartford ,Connecticut,Northeast,1999,4999,299,Urban,41.769319,-72.643785,2
1426,Sul Ross State University,Alpine ,Texas,Southwest,1917,3999,199,Rural,30.35765,-103.661328,2
1427,Sullivan University,Louisville ,Kentucky,Southeast,1962,5999,599,Suburban,38.256078,-85.751569,2
1428,Multnomah University,Portland ,Oregon,West,1936,999,99,Urban,45.516018,-122.681425,1
1429,Lane College,Jackson ,Tennessee,Southeast,1882,1999,99,Urban,35.614344,-88.81938,2
1430,Centenary University,Hackettstown ,New Jersey,Northeast,1867,2999,99,Suburban,40.852269,-74.827567,2
1431,Mount Saint Mary's University,Los Angeles ,California,West,1925,3999,499,Urban,34.052238,-118.243344,3
1432,Mount Marty University,Yankton ,South Dakota,Midwest,1936,1999,199,Rural,42.871088,-97.392228,2
1433,Concordia University Ann Arbor,Ann Arbor ,Michigan,Midwest,1962,1999,99,Urban,42.281419,-83.748478,2
1434,Lyon College,Batesville ,Arkansas,Southeast,1872,999,99,Rural,35.777648,-91.640781,2
1435,Air Force Institute of Technology,Wright-Patterson AFB ,Ohio,Midwest,1919,1999,N/A,Suburban,39.819976,-84.051459,2
1436,University of Arkansas - Fort Smith,Fort Smith ,Arkansas,Southeast,1928,7999,399,Urban,35.386636,-94.424357,2
1437,Brescia University,Owensboro ,Kentucky,Southeast,1950,1999,199,Urban,37.772696,-87.111033,2
1438,Hebrew College,Newton Centre ,Massachusetts,Northeast,1921,499,99,Urban,42.330601,-71.199997,2
1439,Maryville College,Maryville ,Tennessee,Southeast,1819,1999,99,Suburban,35.750607,-83.973082,2
1440,Montana State University-Northern,Havre ,Montana,West,1929,1999,99,Rural,48.553419,-109.676615,2
1441,Nebraska Methodist College,Omaha ,Nebraska,Midwest,1891,1999,99,Urban,41.258652,-95.937195,1
1442,William Woods University,Fulton ,Missouri,Midwest,1870,2999,299,Rural,38.844393,-91.944662,2
1443,Holy Family University,Philadelphia ,Pennsylvania,Northeast,1954,3999,399,Urban,39.951061,-75.16562,2
1444,College of Central Florida,Ocala ,Florida,Southeast,1957,9999,399,Urban,29.189311,-82.137789,2
1445,Kansas Wesleyan University,Salina ,Kansas,Midwest,1886,999,99,Rural,38.840558,-97.612409,2
1446,Saint Joseph's College of Maine,Standish ,Maine,Northeast,1912,3999,99,Suburban,43.735578,-70.550979,2
1447,Alderson Broaddus University,Philippi ,West Virginia,Southeast,1871,1999,99,Rural,39.153409,-80.041128,2
1448,Bethel University,Mishawaka ,Indiana,Midwest,1947,1999,99,Suburban,41.661126,-86.1793,2
1449,University of Rio Grande,Rio Grande ,Ohio,Midwest,1876,2999,299,Rural,38.882731,-82.379398,2
1450,College of Staten Island,Staten Island ,New York,Northeast,1956,19999,1499,Urban,40.643498,-74.076203,2
1451,Hannibal-LaGrange University,Hannibal ,Missouri,Midwest,1858,1999,99,Rural,39.704996,-91.385386,2
1452,University of Maine at Presque Isle,Presque Isle ,Maine,Northeast,1903,1999,99,Rural,46.681196,-68.015463,2
1453,"Marian University, Wisconsin",Fond du Lac ,Wisconsin,Midwest,1936,2999,99,Urban,43.77195,-88.433826,2
1454,Principia College,Elsah ,Illinois,Midwest,1912,499,99,Rural,38.954693,-90.36077,2
1455,Vaughn College of Aeronautics and Technology,Flushing ,New York,Northeast,1932,1999,50,Urban,40.765301,-73.817802,2
1456,Notre Dame de Namur University,Belmont ,California,West,1851,1999,299,Suburban,37.508536,-122.291951,2
1457,Central Penn College,Summerdale ,Pennsylvania,Northeast,1881,1999,99,Suburban,40.032612,-75.089063,2
1458,LeMoyne-Owen College,Memphis ,Tennessee,Southeast,1968,1999,99,Urban,35.143378,-90.052136,2
1459,Cranbrook Academy of Art,Bloomfield Hills ,Michigan,Midwest,1932,250,50,Suburban,42.584093,-83.243237,3
1460,Hilbert College,Hamburg ,New York,Northeast,1957,1999,199,Suburban,42.723291,-78.839026,2
1461,The University of Montana Western,Dillon ,Montana,West,1893,1999,199,Rural,45.21469,-112.634606,1
1462,Toccoa Falls College,Toccoa Falls ,Georgia,Southeast,1907,1999,199,Rural,34.593601,-83.358299,2
1463,Montserrat College of Art,Beverly ,Massachusetts,Northeast,1970,499,99,Suburban,42.552163,-70.882679,2
1464,Martin Luther College,New Ulm ,Minnesota,Midwest,1995,1999,99,Rural,44.312958,-94.456617,2
1465,University of Western States,Portland ,Oregon,West,1904,1999,99,Urban,45.516018,-122.681425,1
1466,Fontbonne University,St. Louis ,Missouri,Midwest,1923,1999,199,Suburban,38.630276,-90.200309,2
1467,York College,York ,Nebraska,Midwest,1890,999,99,Rural,40.868917,-97.591772,1
1468,West Virginia University at Parkersburg,Parkersburg ,West Virginia,Southeast,1961,3999,99,Suburban,39.263525,-81.544756,2
1469,"Sterling College, Vermont",Craftsbury Common ,Vermont,Northeast,1958,250,50,Rural,44.644199,-72.3825,2
1470,Western Nevada College,Carson City ,Nevada,West,1971,4999,499,Rural,39.16458,-119.766919,1
1471,Northwestern Oklahoma State University,Alva ,Oklahoma,Southwest,1897,2999,99,Rural,36.804949,-98.666802,2
1472,West Virginia Wesleyan College,Buckhannon ,West Virginia,Southeast,1890,1999,199,Rural,38.986389,-80.226319,2
1473,Becker College,Worcester ,Massachusetts,Northeast,1784,2999,199,Urban,42.262073,-71.802278,2
1474,Clarkson College,Omaha ,Nebraska,Midwest,1888,1999,99,Urban,41.258652,-95.937195,1
1475,Wilberforce University,Wilberforce ,Ohio,Midwest,1856,999,99,Rural,39.717167,-83.882919,2
